draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
3544,11756.707983296255,0.8564566451195554,0.08534834942478473,5.0,35.0,0.0,-11754.780401480748,-0.27172669563021445,1.007641950333306,0.22975509803455813,0.1406546146710049
3545,11755.451718826422,0.8837374859506961,0.08058346589575957,5.0,31.0,0.0,-11753.701011789419,-0.25154977356934904,1.0033432188080726,0.2180536583037514,0.13910001706232522
3546,11756.409907516534,0.9823850270974676,0.08507774914750185,5.0,31.0,0.0,-11751.871705985639,-0.26970509199999526,1.0086788438446126,0.21943268179608544,0.14005493363443394
3547,11756.179521478232,0.8673465531547769,0.08659249051606914,5.0,43.0,0.0,-11753.980150031128,-0.27963097902325285,1.011227469764853,0.222272633174019,0.13925402367843426
3548,11757.229497336877,0.995519953711588,0.08534834942478473,5.0,31.0,0.0,-11756.398369362503,-0.2686703689099438,1.007150231488124,0.2259472135083114,0.14017694496957567
3549,11755.649702754721,0.8588362927281739,0.08058346589575957,5.0,31.0,0.0,-11753.97925318176,-0.2594610636494887,1.0043246052636228,0.22325940655128473,0.13871324888629527
3550,11756.38975650073,0.9632877607555448,0.08507774914750185,5.0,31.0,0.0,-11755.930428987962,-0.26269124206617306,1.0045191902929083,0.22999948044807203,0.1391604551239541
3551,11756.199792261834,0.6974761071434772,0.08659249051606914,5.0,31.0,0.0,-11753.078288852357,-0.2818992767699903,1.0100356036302678,0.22994508887530354,0.13875499170270855
3552,11757.086516347526,0.983025436801705,0.08534834942478473,6.0,63.0,0.0,-11756.82903360695,-0.2753373390050491,1.0084874446259695,0.22866207356471765,0.1399021515579878
3553,11756.760354656504,0.999110037649967,0.08058346589575957,5.0,63.0,0.0,-11754.576817755682,-0.2660741011235297,1.0060554843245493,0.23047759156358646,0.13918133344377911
3554,11756.313518929494,0.9982372551280396,0.08507774914750185,5.0,63.0,0.0,-11754.86522217932,-0.284794353738077,1.011675410557671,0.22863546798517792,0.13997508608672787
3555,11756.621664391945,0.999811873450041,0.08659249051606914,5.0,63.0,0.0,-11754.928531779262,-0.2610303123646914,1.0046275956458266,0.22599297684111838,0.1390760494460859
3556,11755.148036926481,0.722259038917032,0.08534834942478473,4.0,27.0,0.0,-11753.224028656055,-0.2682299365602018,1.0064164623386302,0.22430934401871347,0.14006754708036326
3557,11756.810974863001,0.9869748318927947,0.08058346589575957,4.0,23.0,0.0,-11754.706621081707,-0.2735151043770079,1.0088223199919981,0.22268055174190285,0.13950223733087005
3558,11756.637999181981,0.960225690454745,0.08507774914750185,5.0,31.0,0.0,-11755.654343376536,-0.2817090186289589,1.0108085001004083,0.22660968462566242,0.1400078913558977
3559,11754.95463150955,0.9620241791700802,0.08659249051606914,5.0,63.0,0.0,-11753.633636049646,-0.2879734982680042,1.0118759789758383,0.23361387155088825,0.14089438256993728
3560,11755.74763239511,0.9383677758084148,0.08534834942478473,4.0,31.0,0.0,-11749.785331084007,-0.25787717416787376,1.0032487065814202,0.23120560204501264,0.1390419506863787
3561,11756.825353400189,0.8332074614990947,0.08058346589575957,5.0,51.0,0.0,-11754.875613465558,-0.26993313606024844,1.0078632352039347,0.22412912707889693,0.14062548662541952
3562,11757.098184231847,0.9987169733617225,0.08507774914750185,4.0,31.0,0.0,-11756.142700623452,-0.2784912526269306,1.0095080024509637,0.2287601870687134,0.13958933854852093
3563,11755.050550490827,0.9580614379758045,0.08659249051606914,6.0,63.0,0.0,-11753.059519013801,-0.2861459689459315,1.0116622694138515,0.23049159255422738,0.13776190513737496
3564,11756.759846185847,0.9841515620082738,0.08534834942478473,5.0,31.0,0.0,-11755.395293737573,-0.2757750390131902,1.0100000957096842,0.22298233260414507,0.1395657817542679
3565,11757.02613813606,0.9996366897817863,0.08058346589575957,5.0,31.0,0.0,-11756.57966824004,-0.2733521894053965,1.0077938833244457,0.23111238054438382,0.13895636743455214
3566,11757.268759686236,0.9775205169654183,0.08507774914750185,3.0,15.0,0.0,-11756.600913733395,-0.27614976037357475,1.0091990123790566,0.22793359075005956,0.13955721491778286
3567,11752.498813546816,0.8803122916001639,0.08659249051606914,5.0,31.0,0.0,-11750.343539044541,-0.29031428726966996,1.0111969925845046,0.24325962713244595,0.14012648531843913
3568,11756.637584610873,0.9982395255537287,0.08534834942478473,5.0,63.0,0.0,-11754.842844279961,-0.2585584540598823,1.0049206142706746,0.2234595169181663,0.13995281681489816
3569,11757.210821183013,0.8407069747280278,0.08058346589575957,4.0,31.0,0.0,-11755.428323971659,-0.2752362340248864,1.0085840921274822,0.23011559196717085,0.1395237736943181
3570,11755.49245254178,0.9590001898942248,0.08507774914750185,5.0,31.0,0.0,-11753.746616153107,-0.2607918167641873,1.0051073355306634,0.2261537773494567,0.1413812259017482
3571,11753.438752289725,0.9490318196190066,0.08659249051606914,5.0,63.0,0.0,-11748.550857419208,-0.2527957439126612,1.0037865616685802,0.21459193781705865,0.14081200979237432
3572,11753.877423310927,0.99607667558526,0.08534834942478473,5.0,63.0,0.0,-11752.038422006932,-0.2969056201619239,1.0151722833916197,0.22873859409740271,0.140065201753839
3573,11756.757764245782,0.9433360723643508,0.08058346589575957,6.0,63.0,0.0,-11755.758866597089,-0.2649904894088822,1.0070149902054888,0.22340429647892993,0.13961624903356917
3574,11754.95832308311,0.9697669839856036,0.08507774914750185,5.0,31.0,0.0,-11752.348564460095,-0.2543013161547765,1.0030613575177594,0.22321503371713552,0.13800405487540027
3575,11752.896032811213,0.9995329218331506,0.08659249051606914,5.0,31.0,0.0,-11751.39328842278,-0.24586827594725183,1.0018614363035094,0.2140454920983817,0.1401997031721107
3576,11752.440657889196,0.9998407352652644,0.08534834942478473,5.0,31.0,0.0,-11751.427839008837,-0.30310614331786084,1.0160926243107138,0.2327935485871465,0.1388494388577091
