"","alpha","beta[1]","beta[2]","sigma","lp__"
"136",-0.266765389831107,0.997295914100402,0.278839721775386,0.297358923942065,14037.0536425574
"137",-0.277824520126485,0.997688276920018,0.289935598560435,0.299929100984568,14036.6198087562
"138",-0.269312233715357,0.996746881636572,0.282851903404945,0.29858226943047,14035.9270500606
"139",-0.27100706698012,0.997649981811919,0.282305550037275,0.296672230284084,14037.7811726088
"140",-0.274066055815765,0.997446435318413,0.286338943367814,0.299106173115392,14037.725557415
"141",-0.272872160808648,0.997468113384146,0.285349304008246,0.296064159335377,14037.5897434041
"142",-0.270648319069195,0.998183611447366,0.280060744758513,0.298927703595609,14036.9093985553
"143",-0.282059165191014,0.999245267767756,0.288537668325952,0.299869604451423,14034.9109490402
"144",-0.282292904537818,0.997704041491978,0.294559841657553,0.298595875685208,14035.2543833371
"145",-0.273080667312573,0.997141188724813,0.286851041446741,0.296261047061971,14037.2378805585
"146",-0.271942550807848,0.996213305231822,0.288867304628201,0.29674191024633,14035.7856875269
"147",-0.271670116003244,0.996322380679042,0.289035630385211,0.296742733300675,14033.1552646692
"148",-0.279441719906815,0.999665823565642,0.28443892941246,0.30050461531287,14033.7552227547
"149",-0.26746611712275,0.998206868907657,0.276671107499086,0.295174999277058,14035.19434603
"150",-0.266994792348444,0.997311884671172,0.278935725060361,0.294855852898099,14036.3222843241
"151",-0.268273001232413,0.997540042085893,0.279061011107716,0.295783651108892,14035.9134741276
"152",-0.268123725580479,0.997534015049963,0.279651459332904,0.295923423820861,14037.0820016302
"153",-0.266168436594527,0.996318847918911,0.281986304918548,0.295881183060378,14036.4329571555
"154",-0.26640589806543,0.996195375350686,0.281654668163699,0.295792319434504,14034.7096594812
"155",-0.270944401537879,0.997198433454807,0.283252598957701,0.295936764526203,14036.836012737
"156",-0.267405742121659,0.997198058991526,0.279293842699093,0.293392257770243,14034.4578730145
"157",-0.268748212768656,0.997522553425794,0.280726989424098,0.294219021021247,14036.2196550001
"158",-0.270431851839083,0.99764061943174,0.282179244579051,0.295559368138637,14037.077668476
"159",-0.275406250611994,0.997597577724253,0.287225595275479,0.297942404945333,14037.805759916
"160",-0.274944860662429,0.997290789580077,0.28806029889411,0.297865513270615,14037.614974096
"161",-0.264158193407319,0.996575999927157,0.278547266418102,0.29609440079234,14036.1656384987
"162",-0.265106974929501,0.996951436623977,0.278263511908656,0.296141788243965,14036.4973517783
