"","alpha","beta[1]","beta[2]","beta[3]","sigma","lp__"
"100",-0.265634222853914,0.910594097956188,0.0855224277347957,0.29999111771195,0.264880465562423,14819.7016937592
"101",-0.270614503689913,0.909984029146956,0.0846666230168918,0.310101007505762,0.267088420086873,14820.0821499133
"102",-0.269466540038486,0.909364886649056,0.0850545246903965,0.309908790130806,0.266441049425535,14819.7935202941
"103",-0.270207170731017,0.910094567885763,0.0857292026820051,0.305839911423079,0.266504403384253,14821.0463520206
"104",-0.257613285098394,0.907462311262212,0.0863409314701347,0.299434545156151,0.270472704756922,14823.0837252203
"105",-0.263700044024496,0.908630435675976,0.0862668445085208,0.30219182015303,0.267937195983134,14823.5568732626
"106",-0.255151662207784,0.909432519496565,0.0840658874485623,0.29754011523968,0.267110133847286,14821.6185245596
"107",-0.267106954446746,0.911503431786534,0.0833070647201321,0.305706561682176,0.267476128152181,14822.3923562796
"108",-0.271556819088258,0.913249477635936,0.0823909444104057,0.30738403429928,0.267609571624849,14820.7509039195
"109",-0.253798673108759,0.912982216059533,0.0809867781172708,0.293902346409329,0.270168594686701,14820.5324846238
"110",-0.26095830530835,0.909948719463192,0.0844761250994569,0.301338945814825,0.269708457144957,14822.6149944152
"111",-0.262473659932548,0.908289045801557,0.0865946373115311,0.300322433052692,0.268721620917149,14822.5211468892
"112",-0.262248361344953,0.911688016767076,0.0828503248108021,0.300756288720603,0.269281409155543,14823.1586321164
"113",-0.262392048528014,0.91173898055253,0.0828614872897041,0.300671409782309,0.269237518047824,14823.1431437029
"114",-0.269993045763403,0.911700399529978,0.0843355582283678,0.304853768345949,0.270516950932948,14822.0973688408
"115",-0.271846589604157,0.911096912157564,0.084059041987404,0.309958278856041,0.270532439825313,14820.9004346312
"116",-0.273153963651992,0.911790819689116,0.0838593987496793,0.309334325816414,0.269121566639578,14820.8419750423
"117",-0.257985693035972,0.911459975017528,0.0833651883137089,0.295616499071285,0.266909772221295,14822.4709149004
"118",-0.257452361565526,0.911157757429113,0.0834476546330907,0.295934284457596,0.267939234759247,14823.0884116353
"119",-0.263535644155742,0.911211129646121,0.0835810458057269,0.301894324829054,0.268010476649247,14823.6857720261
"120",-0.261271970615114,0.913891162206224,0.0813504644766109,0.296653828152052,0.270671131579615,14821.2056335666
"121",-0.257486884804643,0.911169803890089,0.0827464980434274,0.298984718166679,0.265961119472459,14819.8349262701
"122",-0.261023721996239,0.91325836564814,0.0820585399190744,0.296881521147816,0.269389304697349,14822.8669917511
"123",-0.264770287862857,0.909710564765934,0.085318666429119,0.302847977941019,0.269521830378938,14823.9870278842
"124",-0.251985283403908,0.909591438824537,0.0846230650375652,0.291878338621942,0.271285094599707,14821.1552351164
"125",-0.255773521677821,0.909417750992878,0.0847794195532983,0.294943247766955,0.268996549734885,14821.2884852306
"126",-0.258449087292276,0.906329650575273,0.0873872530649118,0.301130160909434,0.26889400097707,14822.3895591091
"127",-0.271273743334145,0.90837762719972,0.0873595945230715,0.306571721199203,0.266440817846812,14816.6431566367
"128",-0.26741973417076,0.907840814795472,0.0871938635897409,0.305669515768717,0.266908171611617,14821.5030732487
"129",-0.255753163365516,0.906169314119017,0.0880536021205532,0.295652089899978,0.269930201756999,14820.7298687082
"130",-0.256308390083568,0.909303027389022,0.0848055469522761,0.296132222424377,0.269236531301687,14822.5568542219
"131",-0.262128238777294,0.909413484836557,0.0855623304138707,0.300578923103454,0.266837590037895,14822.6593003123
"132",-0.260496657327776,0.908732399540944,0.0849737032903772,0.303578248628268,0.267070966830149,14820.1678736578
"133",-0.257361693251645,0.908496556555428,0.0868358435319206,0.293952463325327,0.267084742414303,14820.9651724715
"134",-0.255636988883506,0.907480295087831,0.0859969461792976,0.298573806655505,0.26747843797848,14821.8807754453
"135",-0.255135867618446,0.90733725279781,0.0879949936562384,0.292161129545213,0.26986061333238,14819.4044392947
"136",-0.259960199052729,0.905462486501449,0.0874060511892705,0.30599994720437,0.269563494084233,14818.925891112
"137",-0.257114934318109,0.910662011544347,0.0824545602423596,0.300770618764223,0.269142842956591,14820.6211099817
"138",-0.25980087945705,0.910975753014517,0.0832325573729407,0.300331210976404,0.268346813798138,14822.7310545527
"139",-0.260764048097804,0.911069569764511,0.0836773889208017,0.298698019265804,0.268770329990978,14823.6914900646
"140",-0.269668653025852,0.910326904130818,0.085427914431154,0.305507066849844,0.268033846498834,14822.2360298642
"141",-0.267280139684802,0.908906309558748,0.0856591907466599,0.307917168264291,0.270928853725105,14820.9947270086
"142",-0.266079642005369,0.910197274502346,0.0851527911180117,0.302321667150379,0.265947302310651,14821.0756856774
"143",-0.262203251128598,0.910041868223781,0.0853013718179297,0.299032481914541,0.269797890734149,14823.747158392
"144",-0.26232334592228,0.909822750933334,0.0854208958256726,0.299749010842482,0.27041989916004,14823.5127053593
"145",-0.261004593672547,0.910859348487108,0.0835727237306642,0.299974018207275,0.267927570477805,14823.1603888638
"146",-0.262004230136933,0.910799314568022,0.0844074916986177,0.299034099477292,0.266201805927258,14822.605867611
"147",-0.259974045146926,0.910631557444164,0.0846054489535889,0.296453728254045,0.267391914397345,14822.8827664981
"148",-0.25952743027871,0.909852219624038,0.0855432312455721,0.295415843310246,0.267613273844527,14822.1098937508
"149",-0.254329532933208,0.910817535794939,0.0828678489716479,0.295877393658193,0.271128503281025,14821.7490743559
"150",-0.258104994088123,0.91105998171414,0.0834610889683954,0.296704950184298,0.272593235961401,14822.6717459431
"151",-0.263561379072979,0.907536941061852,0.0866536448647973,0.304944860551589,0.27147326008701,14822.5023955896
"152",-0.250442914734737,0.907560438458931,0.0859356359360596,0.292415787618912,0.272418121289783,14819.7448972197
"153",-0.266184252789048,0.910982652337791,0.0829844987008731,0.308054577859579,0.273231723275745,14819.1783144629
"154",-0.25978423097031,0.90848928499928,0.0873944736811718,0.294348623185816,0.270297974202284,14820.3052900313
"155",-0.259721693672158,0.907366897017051,0.087341542393134,0.299123158258164,0.270197557593518,14823.112587054
"156",-0.26588378221362,0.912195371541424,0.0837654904365818,0.301010184203886,0.27067258436273,14821.6544340404
"157",-0.257713210086229,0.90966635947518,0.0845353194585749,0.299356615869256,0.27098111074639,14817.9918238002
"158",-0.262991368110298,0.911977754336952,0.0831154908243194,0.298785652714094,0.26591993082733,14817.7063023848
"159",-0.2653729713314,0.911831369533381,0.0828111715361311,0.304251321387441,0.26935081371331,14823.1513501387
"160",-0.258491947404384,0.908547755539577,0.0861801174578704,0.296834416856493,0.271134180477581,14823.1381702859
"161",-0.26699969793228,0.911862903893948,0.0835998401510161,0.303126935850439,0.272256526260625,14822.7484028398
"162",-0.263660838869973,0.912491189751522,0.0823729487000917,0.301777249322863,0.269605706923591,14823.2977953208
