draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
2883,1889.8493011740475,1.0,0.02347331351994421,6.0,79.0,0.0,-1887.3331961540707,0.024308988040700957,0.30986841773570634,0.65607115577989,0.09191936479114378
2884,1889.3413516115102,0.9999909672835992,0.021264886404270496,7.0,255.0,0.0,-1888.2511948443494,0.01121676855157435,0.30881368163967887,0.6615110700709864,0.09007420432315663
2885,1886.97795356817,0.9678864136859292,0.021765770852745368,5.0,63.0,0.0,-1886.3896309239271,0.02147529878044266,0.3825042129100134,0.5838777440900086,0.09096428848231305
2886,1889.329309342094,0.9586707679301534,0.022577872639330785,7.0,191.0,0.0,-1886.6942716086892,0.0518619357954209,0.2881997416416496,0.6710398805903033,0.08938860723439386
2887,1890.1682427568355,0.9933457335114336,0.02347331351994421,6.0,71.0,0.0,-1889.293406476231,0.045114346051286294,0.3070450561795937,0.6535409585103752,0.09049235967249299
2888,1889.0517153157614,0.8794749546599832,0.021264886404270496,7.0,127.0,0.0,-1887.4817586359366,0.03157557921386176,0.32423939632750287,0.6389229137543142,0.09314529445009148
2889,1888.6783485170781,0.9877144262179733,0.021765770852745368,7.0,127.0,0.0,-1885.7881413879938,-0.006873912674784893,0.34486369539602263,0.6302979057993503,0.09038022380663484
2890,1889.5296868086368,0.9932473769287389,0.022577872639330785,7.0,255.0,0.0,-1887.3703006328537,0.014162602338443757,0.33658381337390636,0.6329868828915687,0.08911128407736883
2891,1890.015700814278,0.9999128401457065,0.02347331351994421,5.0,63.0,0.0,-1888.8600257611738,0.048226931374366684,0.3078230183763131,0.6519809699573732,0.09038786460837461
2892,1889.2511600411779,0.960641730279589,0.021264886404270496,4.0,27.0,0.0,-1888.111690755461,0.03332809166246975,0.324858075471829,0.6379770064394145,0.09331228524669545
