draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,sigma
1571,12057.5115283744,0.9981167507245798,0.027611744434291367,7.0,127.0,0.0,-12055.990705825561,-0.2585380719968971,0.688161508470793,0.3094571811589054,0.32225966438951326,0.13400514327616017
1572,12058.788404046492,0.9919137218457457,0.02320372495041992,7.0,255.0,0.0,-12058.09205950226,-0.24374128326908565,0.7157635577698888,0.2792013607868408,0.3089381850373783,0.13410662533786188
1573,12058.002324875675,0.9959783026590533,0.027567250146182155,6.0,63.0,0.0,-12057.757165486426,-0.250926189373435,0.7255049832334582,0.27062456652492933,0.3116116421691582,0.13429608045729932
1574,12058.029163918662,0.997545833591743,0.025731010478064465,6.0,127.0,0.0,-12053.456021464388,-0.2631792072857114,0.7050574824384457,0.29448374701074304,0.31558379315009694,0.13419213554199705
1575,12056.181576960927,0.9992142760452706,0.027611744434291367,7.0,127.0,0.0,-12054.766443372917,-0.2613871593119364,0.7041422585673376,0.29320724806055765,0.3273526207326707,0.132702514997764
1576,12059.022881753113,0.9808590454497108,0.02320372495041992,6.0,127.0,0.0,-12056.963890422514,-0.25165212698486117,0.6989220178705005,0.29696707815378126,0.32123412319053435,0.13404949151414244
1577,12057.854972500401,0.9357404803210918,0.027567250146182155,7.0,191.0,0.0,-12055.413564636063,-0.23711168127261364,0.7123386344802796,0.2797227460100336,0.3115479297286131,0.13389086531278943
1578,12058.11905803302,0.966727495686156,0.025731010478064465,7.0,127.0,0.0,-12056.370148701522,-0.23855354593610878,0.6924944132036444,0.29926882559922025,0.32237306692388756,0.13450883171595726
1579,12057.282620024584,0.9968538378070454,0.027611744434291367,7.0,255.0,0.0,-12053.512859571434,-0.25320062074743666,0.720931539614038,0.2773019013004727,0.3038914735991186,0.13521602707150196
1580,12058.38315202762,0.9367172396721278,0.02320372495041992,6.0,123.0,0.0,-12056.272055175952,-0.24650137723071586,0.714818882325359,0.2796125885904693,0.31324066283118934,0.13396897342512074
1581,12058.4451721729,0.9870556348755258,0.027567250146182155,6.0,127.0,0.0,-12055.253289580773,-0.24920861205870573,0.7066647864845867,0.2882277042712362,0.3215611247524202,0.133857758854997
1582,12058.436265141594,0.9990450371613411,0.025731010478064465,6.0,63.0,0.0,-12056.346457171348,-0.23906931692504288,0.6919431556898813,0.3012458856385369,0.3141399768767901,0.13354115006888911
1583,12056.938940795842,0.9332060379227848,0.027611744434291367,7.0,127.0,0.0,-12052.903160843633,-0.23978309628547861,0.7152508621285616,0.27974851368008513,0.3008489164398204,0.13495880337088703
1584,12058.180290354392,0.9805748024333674,0.02320372495041992,7.0,127.0,0.0,-12056.781483777882,-0.2592950812196137,0.7145303782541542,0.28458809956284115,0.3119666815076898,0.1333202388020107
1585,12058.70167055601,0.9994509318192246,0.027567250146182155,6.0,127.0,0.0,-12056.954115659799,-0.2513849389355537,0.6913796290205644,0.3041948870058198,0.3215649914808759,0.13475351036389488
1586,12058.063813167453,0.9339169170557001,0.025731010478064465,6.0,63.0,0.0,-12057.164426249825,-0.24319144401631926,0.6890030584007545,0.3055036215790269,0.3156901309630937,0.1335076459354289
1587,12057.77561042022,0.9986209596455952,0.027611744434291367,7.0,255.0,0.0,-12054.398548336832,-0.25927741129978393,0.727002963111888,0.27176323125052704,0.3099967322501587,0.13426626320496068
1588,12058.269107576485,0.7833186186538373,0.02320372495041992,2.0,3.0,0.0,-12056.262124733588,-0.2592715985319537,0.7143771304446149,0.28460817723544996,0.31215227743371715,0.13331501235101728
1589,12059.074539935807,0.9999357203323607,0.027567250146182155,7.0,127.0,0.0,-12058.307363457348,-0.24836722137425493,0.6980165041575759,0.2971261176599539,0.3187403797533775,0.1334426034760388
1590,12058.135927137926,0.8844374384914526,0.025731010478064465,7.0,127.0,0.0,-12053.45937025076,-0.23632869970125997,0.6905797838700997,0.30187100977515446,0.3147012377410054,0.1351637606711866
1591,12058.55567330438,0.8966010326982593,0.027611744434291367,7.0,127.0,0.0,-12056.504048869454,-0.25221494294077995,0.7109628813476045,0.2847556277646213,0.3163726997241937,0.13483956764060717
1592,12057.301814012691,0.8571735554486855,0.02320372495041992,5.0,35.0,0.0,-12055.877647322315,-0.2624987482277077,0.7142271011648054,0.28613647126718605,0.3100669001579805,0.13338240631218204
1593,12058.671748028499,0.9221621268812016,0.027567250146182155,6.0,127.0,0.0,-12057.499349808033,-0.24318098608344763,0.6921406555032579,0.3014926602078799,0.3175874247336913,0.1350805204198186
1594,12057.985150765246,0.9940967220613974,0.025731010478064465,7.0,127.0,0.0,-12057.255599695054,-0.23824711922631028,0.6927965372530674,0.30053641567028216,0.3120375572170125,0.13535935338489738
1595,12058.250876124901,0.9999162242984966,0.027611744434291367,6.0,95.0,0.0,-12051.536633837059,-0.2540871069557308,0.7098956237697203,0.2877511219487208,0.31366079507626954,0.13562074903053511
1596,12056.992860215561,0.9945423331983549,0.02320372495041992,6.0,63.0,0.0,-12056.647557557115,-0.2618132650720781,0.7128244519903829,0.2872083349641425,0.30868335776934663,0.13349578988424315
1597,12059.306433341711,0.9322322874999704,0.027567250146182155,7.0,127.0,0.0,-12057.49817502404,-0.2512869499806146,0.7030665792393883,0.2931673850014594,0.3153609441147258,0.13494515415996122
