"","alpha","beta[1]","beta[2]","beta[3]","beta[4]","sigma","lp__"
"84",-0.47411350293743,0.911209452577377,0.147986741850853,0.529035737905063,-0.0693648946250005,0.266393534675754,14876.2782507748
"85",-0.475544332552138,0.907111231206915,0.150658294335604,0.53543959309587,-0.0690872348848597,0.265621177729223,14875.1352746501
"86",-0.471660828171569,0.908312948221165,0.150656506582285,0.53291308237761,-0.0713956383669438,0.26493657519762,14874.5601358737
"87",-0.485244369707092,0.907956658771265,0.153232682348333,0.542418662319211,-0.0717563153211136,0.267105137318159,14876.0526145301
"88",-0.481231790920693,0.908543006188712,0.151593755861956,0.543400193074498,-0.0724215704755973,0.273069733136213,14873.8220870217
"89",-0.490027225231584,0.909576942152697,0.151900873725976,0.545965170535192,-0.0717198828214339,0.273561837756901,14871.9847951973
"90",-0.483477366409468,0.911295614888671,0.152113784582273,0.543013306125985,-0.0754538935358138,0.270647942177459,14874.2185794216
"91",-0.486407248975557,0.911286576462113,0.150082522818046,0.540975030821412,-0.0714116128541142,0.271345896689841,14875.2316223333
"92",-0.444324348337804,0.908375790327404,0.140623300427821,0.501905165939834,-0.060014121355288,0.265882522957074,14875.9194343459
"93",-0.441777897103216,0.908825350798883,0.141099448823861,0.499529280700362,-0.0613138689040275,0.266254950454795,14874.7917093488
"94",-0.470175584301204,0.909267958077855,0.146983689143225,0.532979397486924,-0.0686364949056248,0.271825564727563,14872.2998683856
"95",-0.471036166028427,0.910445572930479,0.14898317732018,0.52280153471298,-0.0689347433217049,0.27106541786353,14872.9299399578
"96",-0.475116233662277,0.906269428893695,0.151128426170964,0.540168761355715,-0.0703519998384773,0.264969789679801,14871.9147926751
"97",-0.474369508281172,0.908676510222884,0.14948966402576,0.53485170968134,-0.0701214873030426,0.271121358612642,14876.2098046919
"98",-0.485884562494347,0.910578560507319,0.1518933080422,0.541631293493867,-0.0730749217469928,0.269930874772001,14876.8746025947
"99",-0.481524785827081,0.910660444295263,0.151484171339948,0.540965800155131,-0.0739353984080078,0.269993091895334,14876.3601340838
"100",-0.445203964853361,0.908895033060758,0.142557336802814,0.502560351511849,-0.0625664475389039,0.266699933386994,14876.1334116106
