"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","gamma.1","gamma.2","gamma.3","gamma.4","gamma.5","gamma.6","gamma.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"21",-0.157946373296784,-0.105690675734561,-0.115252635932016,0.0374925225963861,0.0474892224008786,0.0813760525914059,0.0677051507252396,0.00915418742309514,0.996744124084332,-0.0805357673324178,0.0706825559355267,0.20392882590956,0.432762137945329,0.630037147824952,0.782253924563519,0.947917130076525,-0.111839016123054,-0.112770991015144,-0.065679168329741,-0.0371232854181262,0.0254437018580856,-0.0534286055109749,-0.0208555388013404,0.00267524749803982,-0.0218634860748599,0.023255152899721,-0.0294301985441101,-0.0324908530713371,-0.00866960509203946,-0.0360384079690714,-0.0307892153501567,0.00413649003998858,1.05693668799093,0.916213485655126,0.750998721770673,0.524756547695747,0.337966243403543,0.199265338894611,0.0491854036966627,0.214908857456845,0.178928004944649,0.159432079832187,0.129778149880593,0.106467108027928,0.0697416892735788,0.0394450260573444,0.0115656221447629,59131.126873183
"22",-0.165507903183842,-0.134513879859941,-0.117440285461914,0.033024522843498,0.0735549465288527,0.0712493204853831,0.0626397927901627,0.00875603198032109,0.991345548623355,-0.0869217982894027,0.00471656469775433,0.183045735379949,0.433761912211024,0.634367369568129,0.785434075468219,0.948348134806218,-0.0975307980208483,-0.0981883409367906,-0.0733984510979689,-0.0475909602666832,0.0209818857418816,-0.0524176312852146,-0.0205304199150067,0.00257485183401331,0.00525631577039937,0.0385625377824439,-0.0342337760286494,-0.040230409258798,-0.00764487217955875,-0.0266682020533805,-0.0290217899059549,0.00385694019829066,1.06729732372114,0.984385506908648,0.77582760120577,0.515343769467067,0.335327587612164,0.196965206061979,0.048849304173163,0.214363030127367,0.181741551596405,0.156289575283994,0.131812880148164,0.109402478442175,0.0712439269195418,0.0389770413271541,0.0116962816935381,59130.364615528
"23",-0.169517894431596,-0.111099871611465,-0.112968669622757,0.0357785822207846,0.0526063050130071,0.0685841037609719,0.0661820737946274,0.00896831581879269,0.995129590941138,-0.0411824896861814,0.000842695258627945,0.232125550129551,0.450081613137568,0.628209918176222,0.782010282760154,0.948690855431506,-0.100197006428757,-0.10209403528598,-0.0775027979704156,-0.0434758563467488,0.0267691837056476,-0.0516991994757945,-0.0220311071915902,0.00298492249274156,-0.0110241864990112,0.0175167648548132,-0.0258827060845949,-0.0352400735486633,-0.00916794293789518,-0.026032921443742,-0.0299272312891647,0.00404734539611781,1.02080445130327,0.987300213265956,0.72509855670187,0.505995430654855,0.343099572170149,0.19982228711816,0.048411807371383,0.220797646814738,0.182535407859152,0.158213310485398,0.130180162366875,0.107358297355532,0.0717295044960013,0.0394882299968591,0.0114263162721107,59130.3434731173
"24",-0.182378802353422,-0.0922554540523433,-0.131518255328043,0.0487399053559777,0.0383792015665975,0.075186183377098,0.0642912715115151,0.00866340222823624,1.00017548516026,-0.0660665574318116,-0.0708217147716928,0.192504256349512,0.443578460699586,0.625291171445061,0.784225022977483,0.947616623736264,-0.114685049793065,-0.117040512754971,-0.0634877824216692,-0.0409566194052481,0.0254842408346148,-0.0476341765513353,-0.0212124324819725,0.0030503828260577,-0.0114243996707464,0.0129204632666041,-0.0239559430989868,-0.0371110045163283,-0.0114249143710245,-0.0241671983164588,-0.0317031241240755,0.00449587956201115,1.0389162432527,1.06238564993373,0.761294452771783,0.517893527944118,0.344340623050811,0.198155078940711,0.0494690762191058,0.220485871388243,0.178906259303543,0.15902328369238,0.128603376396329,0.107322305763182,0.0715887979427594,0.0400082356948807,0.0117696673019917,59130.0333072
"25",-0.183680512588743,-0.152043286161599,-0.114521947420449,0.0273230245337963,0.0311615362274607,0.0869353231115707,0.0773003018689323,0.00985041057153273,0.995974846209703,0.0185954167222397,-0.0363875657260117,0.188525233055476,0.439882415371116,0.61745926276489,0.775009291172844,0.949050982972295,-0.0799151555246165,-0.110624500979004,-0.0611124608416512,-0.0392114446177561,0.0393781373402356,-0.0572051464526455,-0.0237024257952718,0.00181791311117449,0.00570538367851316,0.00537934230685129,-0.0291825767925671,-0.0340457669140625,0.00142087103113928,-0.0322653441661869,-0.0301678352640927,0.00420855666612887,0.973800951852276,1.02480281145142,0.771335885573556,0.520532196405769,0.349455942407543,0.203711744370697,0.0478622347360872,0.216653335881725,0.181028757157581,0.152340492414269,0.131092712121138,0.108588885758157,0.0712182304892224,0.0388919854477183,0.0117430408669652,59129.726847759
"26",-0.172365033260291,-0.154523873552358,-0.0700713800944722,0.0625291803298328,0.0476264249394278,0.0684619400511649,0.0717381079310593,0.0101633015995345,0.994661554217549,-0.0474922732700376,-0.0539835003973973,0.183024164840379,0.421260245698172,0.633542236011698,0.784857397292399,0.948497518563063,-0.0939698931240889,-0.0980875267664291,-0.0761513698721071,-0.0586758797305319,0.0384498926563211,-0.0515538093169945,-0.0231318212867939,0.0031650851456239,-0.00742818710954819,0.022839603173957,-0.0363056563154978,-0.0430043195111376,-0.000628645427571315,-0.0257598692429692,-0.0306011964641267,0.00354047480747182,1.03844738093031,1.02963974235982,0.768949029545631,0.534571811277025,0.338021271800682,0.19496666692005,0.0482512661865553,0.220325246728068,0.179045682207889,0.158076935826654,0.128980039840915,0.108405873173333,0.0698673899692632,0.0399969431722304,0.0114985700760341,59130.8408897351
"27",-0.178646296653461,-0.132372340254666,-0.0717999579967923,0.0256849283760609,0.0473264437201767,0.072586983704623,0.06472884470146,0.0106112036739409,0.999074919054127,-0.0908849814351929,-0.0296060224704996,0.159902034245213,0.446856928921612,0.634697070483415,0.782735561637005,0.948914326502821,-0.100853781351978,-0.100105413249743,-0.070052330394413,-0.0362317627850633,0.0318894300695555,-0.0503060890358518,-0.0180365813416964,0.00260260432496165,-0.0164458428573049,0.0183454227607789,-0.0429303107645529,-0.0390140704798509,-0.00421559048160951,-0.0323185778401046,-0.0302371835249511,0.00417295234615042,1.07350613142076,1.00597407957995,0.800872964947471,0.510185176428086,0.335676121428849,0.198957444219404,0.0475610984518024,0.217021021462265,0.183162999964478,0.15590318551102,0.131195610855156,0.10741840311718,0.0719921448535471,0.039365307065584,0.0118877752151817,59132.7943992264
"28",-0.162918679377261,-0.143871481278829,-0.107351051119031,0.0322729790825835,0.0394148477439258,0.0897149109116274,0.0654798146798754,0.00920421011119786,0.994542089775146,-0.0284634162174872,-0.00469864896291578,0.197314102164535,0.435651063473028,0.632782532097336,0.78619152472636,0.947996075917437,-0.0931601365119802,-0.105571319388886,-0.0722432885471671,-0.0548519007647326,0.0341256243527464,-0.0569741667382972,-0.0218671970062813,0.00284864072080292,-0.0106988479034521,0.011925079684921,-0.0399274799197401,-0.038489995560055,0.00243997222218384,-0.0305852367322626,-0.0294836118115307,0.00418079879012678,1.01691667369308,0.991418346321866,0.763469658413898,0.523064209427539,0.332110118248565,0.19566224095986,0.0490850784841105,0.216170793849033,0.181068989267913,0.156122223289483,0.130590618778688,0.107650646566912,0.0720619958315637,0.039241121538212,0.0115147001204718,59134.9091937445
"29",-0.191034154663891,-0.129700755341685,-0.111249238244296,0.0614892990447558,0.0385235934395013,0.066082600446076,0.069960542660404,0.0111807212009416,0.999805703206955,-0.041693035728456,-0.0275191819167188,0.158700823402324,0.448474203956403,0.638783845674681,0.777784990306749,0.946314302762253,-0.0890508363326136,-0.108870705650246,-0.0648009989197186,-0.0519387630115606,0.0228828199920055,-0.0464895958258254,-0.0226555617261361,0.00303751767211719,0.00394992938813755,0.0122882568429542,-0.0231462954552415,-0.0469329002156332,-0.0115525674821892,-0.0251554721043856,-0.0295873525051959,0.0044253986045373,1.02504823386696,1.01333695124133,0.793098030550927,0.512418991137569,0.332950153954702,0.203041708910668,0.0501368623255979,0.216490308754455,0.181329467989618,0.15681146767423,0.132123702297927,0.110015678188647,0.0717828278198778,0.0390059317390066,0.0118678521546405,59138.6673864663
"30",-0.183626337196892,-0.148558539927805,-0.107850546432422,0.0551477278738578,0.0377562630901041,0.0797897517560305,0.0686454595735158,0.0106914085933499,0.998194534432885,0.0355673775136092,-0.00881993920533739,0.169152369713898,0.456190000479054,0.618054991248384,0.783725342093967,0.947226224695904,-0.0867586531794951,-0.108549569395905,-0.0567813637513426,-0.0438161616919708,0.0286416391666642,-0.0531893428783089,-0.0203216481449189,0.00239884205759006,-0.00609273354796785,0.0157754545399684,-0.0266431018768333,-0.0504179552160209,-0.00820078611092946,-0.0293600429721612,-0.0305221709653212,0.00398730233049537,0.955481588818826,0.992812273220909,0.783655846163241,0.504561589961035,0.350684218209005,0.196825262090441,0.0493381935939824,0.218124603924942,0.179347085888282,0.15388630368792,0.131192539838905,0.107927995903195,0.0709872230078321,0.040140416637735,0.0119150773394579,59138.0895888686
