"","alpha","beta.1","beta.2","beta.3","sigma","lp__"
"150",-0.26544794288561,0.9122374039234,0.0834307905535347,0.30099380713041,0.268472077649966,14823.1348276759
"151",-0.25847327131895,0.910757040091224,0.0841749720510429,0.295994979226999,0.270631571215886,14823.5301610556
"152",-0.255267005279511,0.908349682891495,0.086502044195937,0.293655299373889,0.269897118435365,14821.8203286169
"153",-0.268821243811911,0.906708659582756,0.0880097517486715,0.30897970304484,0.270014771098542,14820.8583592391
"154",-0.265080887720552,0.908273525427284,0.0868974337497599,0.302596811516115,0.271213944437755,14822.9823632432
"155",-0.251256633862421,0.90299137227252,0.0890771057508511,0.299211589369994,0.271985434760963,14815.3414233806
"156",-0.257124052653742,0.909087579723216,0.0854121676681372,0.296080294411629,0.272923966170025,14822.3530403014
"157",-0.253156715336723,0.908078492160584,0.0862189096307284,0.293297636872448,0.271132218100757,14821.4405779074
"158",-0.266835839499069,0.909695993090319,0.0837856360630265,0.310162031568039,0.268290818322615,14818.6476773291
"159",-0.264732358568557,0.912027145626785,0.0832305201702766,0.301071246510781,0.269876325326809,14823.4472251283
"160",-0.266292676676682,0.910515627221402,0.0858504518174521,0.299575163439706,0.271295591795291,14821.3263932265
"161",-0.269594538890552,0.909654785258738,0.0855887183020668,0.307402053961646,0.266156139981794,14820.9815923006
"162",-0.266126883744547,0.910602279609059,0.0849706982533604,0.302241849916744,0.268324004785366,14823.3849614613
"163",-0.265241535828187,0.911800108118582,0.0825615750533645,0.305026931294656,0.26988563433103,14822.563439643
"164",-0.25764422632744,0.907261423040525,0.0873676994701532,0.297590652565902,0.270568149380868,14821.5678646757
"165",-0.257751557373355,0.906660705924632,0.0869375232339276,0.300284302895754,0.269896778377931,14822.4179746527
"166",-0.261949981472749,0.911013794099921,0.0836224988347151,0.300616415548382,0.272649810311916,14823.1486428514
"167",-0.259298905292828,0.91025113277143,0.0847782763725858,0.296993161672008,0.270503882938452,14823.4878343663
"168",-0.257331404565343,0.910671036233136,0.082816980028276,0.299673381159057,0.269901914201877,14822.0816806642
"169",-0.263464323469217,0.911913259963446,0.0833302612136592,0.300485059206873,0.269413792916341,14823.5680945203
"170",-0.255947859472174,0.911888715869617,0.083843270543924,0.290703869303952,0.27230637455344,14819.1529191665
"171",-0.263255062947335,0.90933972730956,0.0864217496737049,0.298863811906102,0.269186688810042,14822.7259637175
"172",-0.266461103652014,0.907865183999568,0.0883094236224908,0.300649471953374,0.268374512352241,14819.8223241723
"173",-0.266881753538374,0.905857865324498,0.0896740506005926,0.303859035505201,0.269122263125589,14820.1427244555
"174",-0.264256592781609,0.910750780326171,0.0830189000222556,0.305429488614593,0.266222275618264,14818.7987930349
"175",-0.267841044745383,0.910298909852798,0.0849676670291318,0.305675921484085,0.268907260759344,14822.5103748927
"176",-0.254021984695452,0.909776720529837,0.0843749449775379,0.295116879191297,0.273965394090928,14817.7840879796
"177",-0.261979899895546,0.910454120986961,0.0843814843793852,0.30009804764499,0.268388251603903,14824.0500211604
"178",-0.254891437754522,0.908924972666987,0.0849342445749393,0.296412505278872,0.266896259370568,14821.7664877839
