"","alpha","beta[1]","sigma","lp__"
"118",-0.100518180342601,0.993412769421285,0.151418671449711,11054.4109294337
"119",-0.109389721041821,0.996076746652213,0.152251346334638,11054.6676174072
"120",-0.110644389460604,0.99572114651639,0.153033523898284,11054.5225593773
"121",-0.108862322139873,0.99523066419242,0.152834621331652,11054.6911269663
"122",-0.0998498324903151,0.992762821780287,0.152064232550797,11054.7321958859
"123",-0.104472340826089,0.994809592058442,0.153063928162185,11054.1851937328
"124",-0.108060288650592,0.995912531456758,0.153706634254497,11053.5712941074
"125",-0.115048372841393,0.996471083729157,0.15162555290204,11053.0655149611
"126",-0.113329826940095,0.998012835620337,0.151540213762555,11051.7684884868
"127",-0.113600003627441,0.997934095550993,0.151548310738434,11052.4608848486
"128",-0.11389276151939,0.996985016676415,0.151300190681228,11054.4371011378
"129",-0.111524191550415,0.996259512338523,0.151495860319481,11054.681533002
"130",-0.121082305814021,0.999931773335027,0.151916592594043,11052.5420009943
"131",-0.120942324587564,0.99890382577113,0.151920096813861,11054.025931142
"132",-0.112479489804402,0.996370986206384,0.153015537311282,11054.5811008607
"133",-0.106106350990623,0.995464863226987,0.151572336500325,11053.760576106
"134",-0.0928830069426406,0.990721108345493,0.151360504878073,11053.7995981324
"135",-0.106872565516481,0.994547917802745,0.152889784008156,11054.5375880825
"136",-0.091688801120151,0.990114467966666,0.153061166403914,11053.4190575092
"137",-0.0900382896752714,0.989473959131017,0.153528279612452,11052.5361278552
"138",-0.0888871084708929,0.990475012338779,0.153587351863416,11052.0499677502
"139",-0.110113177208017,0.994958598977941,0.152929035675794,11053.0505792438
"140",-0.105722042782078,0.993992920719746,0.15447686955201,11052.5867396222
"141",-0.105493141588436,0.994606100115397,0.154636050776653,11053.1252618066
"142",-0.108651554227421,0.995037324757958,0.154447114581364,11053.0279476464
"143",-0.103230842166979,0.993556591657355,0.15386442096387,11053.8606494311
"144",-0.0975324730757623,0.99134573741174,0.150765045622266,11052.1263072766
"145",-0.112380339924643,0.996609717834261,0.155073430335119,11052.2427839984
"146",-0.119305480572706,0.997984869528221,0.154984462093523,11051.2363939726
"147",-0.116688490659603,0.998807781794795,0.154810500605631,11050.4461204509
"148",-0.103691683727449,0.993150733284545,0.154606119105087,11051.6036079206
"149",-0.106853151267366,0.994279029916254,0.153386747095439,11053.6819980182
"150",-0.101265296994826,0.993429686257635,0.152947952166331,11054.7096045151
"151",-0.118807584689951,0.998778407874072,0.15212882332675,11054.0759834102
"152",-0.122732415945094,0.999148249222169,0.152316136272089,11053.5473879301
"153",-0.106859431325338,0.994488634226055,0.153434775660936,11054.1157209133
"154",-0.0993239429107296,0.992042728690437,0.150939516688596,11053.0395149555
